mesh_id,cache_path,pt_path,obj_path,mask_cells,vertex_count,face_count,status,error,export_status,export_error
252119,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/252119.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/252119.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/252119.obj,611,1518,3030,ok,,ok,
313444,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/313444.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/313444.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/313444.obj,1394,2998,5974,ok,,ok,
316358,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/316358.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/316358.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/316358.obj,1070,2776,5556,ok,,ok,
354371,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/354371.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/354371.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/354371.obj,1602,3570,7138,ok,,ok,
441708,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/441708.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/441708.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/441708.obj,1168,2930,5852,ok,,ok,
44234,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/44234.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/44234.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/44234.obj,870,2122,4230,ok,,ok,
47984,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/47984.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/47984.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/47984.obj,597,1581,3156,ok,,ok,
527631,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/527631.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/527631.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/527631.obj,1655,3451,6904,ok,,ok,
53159,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/53159.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/53159.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/53159.obj,917,2309,4610,ok,,ok,
58168,/export/livia/home/vision/Wcharawi/dev/DCCVT/outputs/neural_hotspot_sdf/thingi32_g33/58168.npz,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/58168.pt,out_hotspot_retrained/HotSpot_pretrained_PoNQ_ABC_retrained_32/58168.obj,1553,3637,7280,ok,,ok,
